,私費購入予定,,,合計金額,,,,,,,,,,
↓：要変更,,,," ¥ 11,558.50 ",,,,,←：セット商品,,,,,
,,,,,,,,,,,,,,
,購入済み,系統,部品名・部品用途,商品名,発注会社,購入リンク(URL),価格(税込み),必要数量（最低）,購入数量,購入金額,単体重量 [kg],総重量 [kg],重量（＆関するコメント）,コメント
,FALSE,ダイオード,逆流防止用ショットキーバリアダイオード,SBRダイオード SBR2U30P1（１パック４個入り）,秋月電子,https://akizukidenshi.com/catalog/g/g117096/, ¥ 100.00 ,1,1, ¥ 100.00 ,,0,,できる限り電圧降下を抑えたいので、順方向電圧が低い良いものを選定。１パック４個の内、使うのは１つ。
,FALSE,コンデンサ,CAN_Trans用ノイズ対策（高周波）,チップ積層セラミックコンデンサー 0.01μF50V B 1608（１パック５０個入り）,秋月電子,https://akizukidenshi.com/catalog/g/g113387/, ¥ 100.00 ,1,1, ¥ 100.00 ,,0,,１パックの内、実装するのは４個。
,FALSE,コンデンサ,CAN_Trans用ノイズ対策（高～中周波）、RC回路を形成し電源投入時の電流の立ち上がりを鈍化（突入電流の抑制）,チップ積層セラミックコンデンサー 0.1μF100V X7R 1608（１パック２０個入り）,秋月電子,https://akizukidenshi.com/catalog/g/g114559/, ¥ 150.00 ,1,1, ¥ 150.00 ,,0,,１パックの内、実装するのは５個。
,FALSE,コンデンサ,CAN_Trans用ノイズ対策（中周波）,チップ積層セラミックコンデンサー 1μF25V X6S 1608（１パック４０個入り）,秋月電子,https://akizukidenshi.com/catalog/g/g116993/, ¥ 120.00 ,1,1, ¥ 120.00 ,,0,,１パックの内、実装するのは４個。
,FALSE,コンデンサ,CAN_Trans用ノイズ対策（低周波）,チップ積層セラミックコンデンサー 10μF35V X5R 1608（１パック１０個入り）,秋月電子,https://akizukidenshi.com/catalog/g/g113161/, ¥ 150.00 ,1,1, ¥ 150.00 ,,0,,１パックの内、実装するのは６個。
,FALSE,フェライトビーズ,CAN_Trans用ノイズ対策,チップインダクター(フェライトビーズ) 330Ω[2012] ムラタBLM21P（１パック２５個入り）,秋月電子,https://akizukidenshi.com/catalog/g/g104053/, ¥ 100.00 ,1,1, ¥ 100.00 ,,0,,１パックの内、実装するのは１０個。
,TRUE,コンピュータ,高レベル処理,Raspberry Pi 5 (8GB),-,-, ¥ -   ,1,0, ¥ -   ,,0,,
,FALSE,コンピュータ,低レベル処理,NUCLEO-H755ZI-Q,Mouser,https://www.mouser.jp/ProductDetail/STMicroelectronics/NUCLEO-H755ZI-Q?qs=%252B6g0mu59x7KOiBeEHDTYVQ%3D%3D," ¥ 5,264.00 ",1,1," ¥ 5,264.00 ",,0,,
,FALSE,その他,基板固定用M3スペーサ,（アキバで調達）,,,,,, ¥ -   ,,0,,
,FALSE,その他,基板固定用M3ナット,（アキバで調達）,,,,,, ¥ -   ,,0,,
,FALSE,その他,基板固定用M3ねじ,（アキバで調達）,,,,,, ¥ -   ,,0,,
,FALSE,その他,NUCLEO用ヒートシンク,（アキバで調達）,,,,,, ¥ -   ,,0,,
,FALSE,IC,絶縁DCDCコンバータ付き絶縁CANトランシーバ,ISOW1044BDFMR,Mouser,https://www.mouser.jp/ProductDetail/Texas-Instruments/ISOW1044BDFMR?qs=Li%252BoUPsLEnsRP1xV2fQwnw%3D%3D," ¥ 1,600.50 ",2,2," ¥ 3,201.00 ",,0,,
,FALSE,,,,,,,,, ¥ -   ,,0,,
,FALSE,,,,,,,,, ¥ -   ,,0,,
,FALSE,,,,,,,,, ¥ -   ,,0,,
,FALSE,,,,,,,,, ¥ -   ,,0,,
